"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Switzerland (CH)","Actual Total Load [MW] - Switzerland (CH)"
"01.01.2017 00:00 - 01.01.2017 01:00","7417","6827"
"01.01.2017 01:00 - 01.01.2017 02:00","7420","6750"
"01.01.2017 02:00 - 01.01.2017 03:00","7521","7111"
"01.01.2017 03:00 - 01.01.2017 04:00","7531","7189"
"01.01.2017 04:00 - 01.01.2017 05:00","7167","7105"
"01.01.2017 05:00 - 01.01.2017 06:00","7440","6883"
"01.01.2017 06:00 - 01.01.2017 07:00","7125","6740"
"01.01.2017 07:00 - 01.01.2017 08:00","7121","6370"
"01.01.2017 08:00 - 01.01.2017 09:00","7122","6070"
"01.01.2017 09:00 - 01.01.2017 10:00","6965","6495"
"01.01.2017 10:00 - 01.01.2017 11:00","6958","6659"
"01.01.2017 11:00 - 01.01.2017 12:00","6569","6647"
"01.01.2017 12:00 - 01.01.2017 13:00","6575","6348"
"01.01.2017 13:00 - 01.01.2017 14:00","6585","6727"
"01.01.2017 14:00 - 01.01.2017 15:00","6578","6683"
"01.01.2017 15:00 - 01.01.2017 16:00","6574","6401"
"01.01.2017 16:00 - 01.01.2017 17:00","6566","6327"
"01.01.2017 17:00 - 01.01.2017 18:00","6541","6678"
"01.01.2017 18:00 - 01.01.2017 19:00","6899","7157"
"01.01.2017 19:00 - 01.01.2017 20:00","7285","7222"
"01.01.2017 20:00 - 01.01.2017 21:00","7325","7124"
"01.01.2017 21:00 - 01.01.2017 22:00","7328","6905"
"01.01.2017 22:00 - 01.01.2017 23:00","7273","6725"
"01.01.2017 23:00 - 02.01.2017 00:00","7304","6693"
"02.01.2017 00:00 - 02.01.2017 01:00","7284","7043"
"02.01.2017 01:00 - 02.01.2017 02:00","7170","6872"
"02.01.2017 02:00 - 02.01.2017 03:00","7273","7117"
"02.01.2017 03:00 - 02.01.2017 04:00","7287","7140"
"02.01.2017 04:00 - 02.01.2017 05:00","7228","7072"
"02.01.2017 05:00 - 02.01.2017 06:00","7303","7006"
"02.01.2017 06:00 - 02.01.2017 07:00","7374","7025"
"02.01.2017 07:00 - 02.01.2017 08:00","7280","6547"
"02.01.2017 08:00 - 02.01.2017 09:00","7414","6311"
"02.01.2017 09:00 - 02.01.2017 10:00","7193","6590"
"02.01.2017 10:00 - 02.01.2017 11:00","7150","6863"
"02.01.2017 11:00 - 02.01.2017 12:00","7365","7015"
"02.01.2017 12:00 - 02.01.2017 13:00","7228","6876"
"02.01.2017 13:00 - 02.01.2017 14:00","7715","7098"
"02.01.2017 14:00 - 02.01.2017 15:00","7862","6963"
"02.01.2017 15:00 - 02.01.2017 16:00","7563","6811"
"02.01.2017 16:00 - 02.01.2017 17:00","8130","6811"
"02.01.2017 17:00 - 02.01.2017 18:00","8594","7136"
"02.01.2017 18:00 - 02.01.2017 19:00","8758","7702"
"02.01.2017 19:00 - 02.01.2017 20:00","8262","7797"
"02.01.2017 20:00 - 02.01.2017 21:00","7686","7559"
"02.01.2017 21:00 - 02.01.2017 22:00","7958","7249"
"02.01.2017 22:00 - 02.01.2017 23:00","7961","7043"
"02.01.2017 23:00 - 03.01.2017 00:00","7782","7107"
"03.01.2017 00:00 - 03.01.2017 01:00","7976","6943"
"03.01.2017 01:00 - 03.01.2017 02:00","7750","7271"
"03.01.2017 02:00 - 03.01.2017 03:00","7658","7528"
"03.01.2017 03:00 - 03.01.2017 04:00","7744","7444"
"03.01.2017 04:00 - 03.01.2017 05:00","7814","7392"
"03.01.2017 05:00 - 03.01.2017 06:00","7727","7231"
"03.01.2017 06:00 - 03.01.2017 07:00","8093","7446"
"03.01.2017 07:00 - 03.01.2017 08:00","8357","7338"
"03.01.2017 08:00 - 03.01.2017 09:00","9266","7652"
"03.01.2017 09:00 - 03.01.2017 10:00","8967","8165"
"03.01.2017 10:00 - 03.01.2017 11:00","8871","8355"
"03.01.2017 11:00 - 03.01.2017 12:00","8606","8335"
"03.01.2017 12:00 - 03.01.2017 13:00","9220","8202"
"03.01.2017 13:00 - 03.01.2017 14:00","8752","8200"
"03.01.2017 14:00 - 03.01.2017 15:00","8462","8099"
"03.01.2017 15:00 - 03.01.2017 16:00","8470","7969"
"03.01.2017 16:00 - 03.01.2017 17:00","8442","7978"
"03.01.2017 17:00 - 03.01.2017 18:00","8874","8185"
"03.01.2017 18:00 - 03.01.2017 19:00","9347","8664"
"03.01.2017 19:00 - 03.01.2017 20:00","9019","8731"
"03.01.2017 20:00 - 03.01.2017 21:00","8612","8410"
"03.01.2017 21:00 - 03.01.2017 22:00","8340","7972"
"03.01.2017 22:00 - 03.01.2017 23:00","8393","7624"
"03.01.2017 23:00 - 04.01.2017 00:00","8238","7524"
"04.01.2017 00:00 - 04.01.2017 01:00","N/A","7329"
"04.01.2017 01:00 - 04.01.2017 02:00","N/A","7228"
"04.01.2017 02:00 - 04.01.2017 03:00","N/A","7181"
"04.01.2017 03:00 - 04.01.2017 04:00","N/A","7296"
"04.01.2017 04:00 - 04.01.2017 05:00","N/A","7370"
"04.01.2017 05:00 - 04.01.2017 06:00","N/A","7218"
"04.01.2017 06:00 - 04.01.2017 07:00","N/A","7142"
"04.01.2017 07:00 - 04.01.2017 08:00","N/A","7290"
"04.01.2017 08:00 - 04.01.2017 09:00","N/A","7864"
"04.01.2017 09:00 - 04.01.2017 10:00","N/A","8355"
"04.01.2017 10:00 - 04.01.2017 11:00","N/A","8556"
"04.01.2017 11:00 - 04.01.2017 12:00","N/A","8574"
"04.01.2017 12:00 - 04.01.2017 13:00","N/A","8499"
"04.01.2017 13:00 - 04.01.2017 14:00","N/A","8558"
"04.01.2017 14:00 - 04.01.2017 15:00","N/A","8523"
"04.01.2017 15:00 - 04.01.2017 16:00","N/A","8388"
"04.01.2017 16:00 - 04.01.2017 17:00","N/A","8330"
"04.01.2017 17:00 - 04.01.2017 18:00","N/A","8454"
"04.01.2017 18:00 - 04.01.2017 19:00","N/A","8762"
"04.01.2017 19:00 - 04.01.2017 20:00","N/A","8779"
"04.01.2017 20:00 - 04.01.2017 21:00","N/A","8432"
"04.01.2017 21:00 - 04.01.2017 22:00","N/A","7920"
"04.01.2017 22:00 - 04.01.2017 23:00","N/A","7536"
"04.01.2017 23:00 - 05.01.2017 00:00","N/A","7380"
"05.01.2017 00:00 - 05.01.2017 01:00","7506","7141"
"05.01.2017 01:00 - 05.01.2017 02:00","7493","7397"
"05.01.2017 02:00 - 05.01.2017 03:00","7401","7633"
"05.01.2017 03:00 - 05.01.2017 04:00","7620","7561"
"05.01.2017 04:00 - 05.01.2017 05:00","7625","7743"
"05.01.2017 05:00 - 05.01.2017 06:00","7749","7754"
"05.01.2017 06:00 - 05.01.2017 07:00","7934","8001"
"05.01.2017 07:00 - 05.01.2017 08:00","8582","7461"
"05.01.2017 08:00 - 05.01.2017 09:00","8917","7924"
"05.01.2017 09:00 - 05.01.2017 10:00","9137","8349"
"05.01.2017 10:00 - 05.01.2017 11:00","9229","8493"
"05.01.2017 11:00 - 05.01.2017 12:00","8943","8620"
"05.01.2017 12:00 - 05.01.2017 13:00","8722","8579"
"05.01.2017 13:00 - 05.01.2017 14:00","9351","8627"
"05.01.2017 14:00 - 05.01.2017 15:00","9083","8548"
"05.01.2017 15:00 - 05.01.2017 16:00","9144","8372"
"05.01.2017 16:00 - 05.01.2017 17:00","8953","8304"
"05.01.2017 17:00 - 05.01.2017 18:00","9773","8491"
"05.01.2017 18:00 - 05.01.2017 19:00","9932","8867"
"05.01.2017 19:00 - 05.01.2017 20:00","9645","8957"
"05.01.2017 20:00 - 05.01.2017 21:00","9331","8658"
"05.01.2017 21:00 - 05.01.2017 22:00","9108","8257"
"05.01.2017 22:00 - 05.01.2017 23:00","9373","7905"
"05.01.2017 23:00 - 06.01.2017 00:00","8468","7786"
"06.01.2017 00:00 - 06.01.2017 01:00","8514","7599"
"06.01.2017 01:00 - 06.01.2017 02:00","8292","7612"
"06.01.2017 02:00 - 06.01.2017 03:00","7955","7568"
"06.01.2017 03:00 - 06.01.2017 04:00","8033","7998"
"06.01.2017 04:00 - 06.01.2017 05:00","7894","8021"
"06.01.2017 05:00 - 06.01.2017 06:00","7892","7501"
"06.01.2017 06:00 - 06.01.2017 07:00","8522","7638"
"06.01.2017 07:00 - 06.01.2017 08:00","8655","7757"
"06.01.2017 08:00 - 06.01.2017 09:00","9443","8254"
"06.01.2017 09:00 - 06.01.2017 10:00","9569","8629"
"06.01.2017 10:00 - 06.01.2017 11:00","9568","8820"
"06.01.2017 11:00 - 06.01.2017 12:00","9383","8858"
"06.01.2017 12:00 - 06.01.2017 13:00","9413","8664"
"06.01.2017 13:00 - 06.01.2017 14:00","9180","8724"
"06.01.2017 14:00 - 06.01.2017 15:00","8787","8592"
"06.01.2017 15:00 - 06.01.2017 16:00","8728","8377"
"06.01.2017 16:00 - 06.01.2017 17:00","8908","8263"
"06.01.2017 17:00 - 06.01.2017 18:00","9587","8388"
"06.01.2017 18:00 - 06.01.2017 19:00","9825","8921"
"06.01.2017 19:00 - 06.01.2017 20:00","9691","9005"
"06.01.2017 20:00 - 06.01.2017 21:00","9464","8770"
"06.01.2017 21:00 - 06.01.2017 22:00","9003","8393"
"06.01.2017 22:00 - 06.01.2017 23:00","9416","8070"
"06.01.2017 23:00 - 07.01.2017 00:00","9386","8149"
"07.01.2017 00:00 - 07.01.2017 01:00","8517","8100"
"07.01.2017 01:00 - 07.01.2017 02:00","8252","7851"
"07.01.2017 02:00 - 07.01.2017 03:00","7983","7724"
"07.01.2017 03:00 - 07.01.2017 04:00","8033","7525"
"07.01.2017 04:00 - 07.01.2017 05:00","7847","7377"
"07.01.2017 05:00 - 07.01.2017 06:00","7431","7406"
"07.01.2017 06:00 - 07.01.2017 07:00","7772","7516"
"07.01.2017 07:00 - 07.01.2017 08:00","7775","7037"
"07.01.2017 08:00 - 07.01.2017 09:00","7850","7155"
"07.01.2017 09:00 - 07.01.2017 10:00","7990","7493"
"07.01.2017 10:00 - 07.01.2017 11:00","8243","7811"
"07.01.2017 11:00 - 07.01.2017 12:00","8066","7896"
"07.01.2017 12:00 - 07.01.2017 13:00","8387","7817"
"07.01.2017 13:00 - 07.01.2017 14:00","8626","7944"
"07.01.2017 14:00 - 07.01.2017 15:00","8533","7978"
"07.01.2017 15:00 - 07.01.2017 16:00","8235","7978"
"07.01.2017 16:00 - 07.01.2017 17:00","8408","7845"
"07.01.2017 17:00 - 07.01.2017 18:00","8754","7961"
"07.01.2017 18:00 - 07.01.2017 19:00","8685","8380"
"07.01.2017 19:00 - 07.01.2017 20:00","8701","8346"
"07.01.2017 20:00 - 07.01.2017 21:00","8685","8072"
"07.01.2017 21:00 - 07.01.2017 22:00","8083","7760"
"07.01.2017 22:00 - 07.01.2017 23:00","8130","7432"
"07.01.2017 23:00 - 08.01.2017 00:00","7972","7422"
"08.01.2017 00:00 - 08.01.2017 01:00","7934","7336"
"08.01.2017 01:00 - 08.01.2017 02:00","7847","7143"
"08.01.2017 02:00 - 08.01.2017 03:00","7816","7062"
"08.01.2017 03:00 - 08.01.2017 04:00","7579","7124"
"08.01.2017 04:00 - 08.01.2017 05:00","8125","7292"
"08.01.2017 05:00 - 08.01.2017 06:00","7539","7093"
"08.01.2017 06:00 - 08.01.2017 07:00","7453","6969"
"08.01.2017 07:00 - 08.01.2017 08:00","7116","6770"
"08.01.2017 08:00 - 08.01.2017 09:00","7479","6676"
"08.01.2017 09:00 - 08.01.2017 10:00","8128","6566"
"08.01.2017 10:00 - 08.01.2017 11:00","7907","6807"
"08.01.2017 11:00 - 08.01.2017 12:00","7688","6976"
"08.01.2017 12:00 - 08.01.2017 13:00","7714","7018"
"08.01.2017 13:00 - 08.01.2017 14:00","7654","7189"
"08.01.2017 14:00 - 08.01.2017 15:00","7578","7043"
"08.01.2017 15:00 - 08.01.2017 16:00","7553","6886"
"08.01.2017 16:00 - 08.01.2017 17:00","7570","6901"
"08.01.2017 17:00 - 08.01.2017 18:00","8269","7074"
"08.01.2017 18:00 - 08.01.2017 19:00","8016","7727"
"08.01.2017 19:00 - 08.01.2017 20:00","8248","7984"
"08.01.2017 20:00 - 08.01.2017 21:00","8394","7861"
"08.01.2017 21:00 - 08.01.2017 22:00","8077","7545"
"08.01.2017 22:00 - 08.01.2017 23:00","7967","7229"
"08.01.2017 23:00 - 09.01.2017 00:00","7860","7119"
"09.01.2017 00:00 - 09.01.2017 01:00","8367","6898"
"09.01.2017 01:00 - 09.01.2017 02:00","8155","6870"
"09.01.2017 02:00 - 09.01.2017 03:00","8033","7136"
"09.01.2017 03:00 - 09.01.2017 04:00","8278","7453"
"09.01.2017 04:00 - 09.01.2017 05:00","8027","7575"
"09.01.2017 05:00 - 09.01.2017 06:00","8337","7577"
"09.01.2017 06:00 - 09.01.2017 07:00","8758","7356"
"09.01.2017 07:00 - 09.01.2017 08:00","9738","7848"
"09.01.2017 08:00 - 09.01.2017 09:00","9886","8690"
"09.01.2017 09:00 - 09.01.2017 10:00","9885","9161"
"09.01.2017 10:00 - 09.01.2017 11:00","9884","9230"
"09.01.2017 11:00 - 09.01.2017 12:00","9875","9274"
"09.01.2017 12:00 - 09.01.2017 13:00","9859","9199"
"09.01.2017 13:00 - 09.01.2017 14:00","9881","8978"
"09.01.2017 14:00 - 09.01.2017 15:00","9807","8951"
"09.01.2017 15:00 - 09.01.2017 16:00","9649","8897"
"09.01.2017 16:00 - 09.01.2017 17:00","9690","8872"
"09.01.2017 17:00 - 09.01.2017 18:00","9887","8981"
"09.01.2017 18:00 - 09.01.2017 19:00","9882","9218"
"09.01.2017 19:00 - 09.01.2017 20:00","9831","9230"
"09.01.2017 20:00 - 09.01.2017 21:00","9716","8838"
"09.01.2017 21:00 - 09.01.2017 22:00","9393","8312"
"09.01.2017 22:00 - 09.01.2017 23:00","9286","7868"
"09.01.2017 23:00 - 10.01.2017 00:00","9090","7709"
"10.01.2017 00:00 - 10.01.2017 01:00","8618","7532"
"10.01.2017 01:00 - 10.01.2017 02:00","8322","7312"
"10.01.2017 02:00 - 10.01.2017 03:00","8210","7262"
"10.01.2017 03:00 - 10.01.2017 04:00","8186","7460"
