"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"01.01.2018 00:00 - 01.01.2018 00:15","375","504"
"01.01.2018 00:15 - 01.01.2018 00:30","375","469"
"01.01.2018 00:30 - 01.01.2018 00:45","374","468"
"01.01.2018 00:45 - 01.01.2018 01:00","373","475"
"01.01.2018 01:00 - 01.01.2018 01:15","309","477"
"01.01.2018 01:15 - 01.01.2018 01:30","312","467"
"01.01.2018 01:30 - 01.01.2018 01:45","314","423"
"01.01.2018 01:45 - 01.01.2018 02:00","316","394"
"01.01.2018 02:00 - 01.01.2018 02:15","288","390"
"01.01.2018 02:15 - 01.01.2018 02:30","289","405"
"01.01.2018 02:30 - 01.01.2018 02:45","291","421"
"01.01.2018 02:45 - 01.01.2018 03:00","293","427"
"01.01.2018 03:00 - 01.01.2018 03:15","267","425"
"01.01.2018 03:15 - 01.01.2018 03:30","268","410"
"01.01.2018 03:30 - 01.01.2018 03:45","270","407"
"01.01.2018 03:45 - 01.01.2018 04:00","272","389"
"01.01.2018 04:00 - 01.01.2018 04:15","253","384"
"01.01.2018 04:15 - 01.01.2018 04:30","254","405"
"01.01.2018 04:30 - 01.01.2018 04:45","256","395"
"01.01.2018 04:45 - 01.01.2018 05:00","257","420"
"01.01.2018 05:00 - 01.01.2018 05:15","248","414"
"01.01.2018 05:15 - 01.01.2018 05:30","248","401"
"01.01.2018 05:30 - 01.01.2018 05:45","248","413"
"01.01.2018 05:45 - 01.01.2018 06:00","250","411"
"01.01.2018 06:00 - 01.01.2018 06:15","251","422"
"01.01.2018 06:15 - 01.01.2018 06:30","249","430"
"01.01.2018 06:30 - 01.01.2018 06:45","249","429"
"01.01.2018 06:45 - 01.01.2018 07:00","251","425"
"01.01.2018 07:00 - 01.01.2018 07:15","220","431"
"01.01.2018 07:15 - 01.01.2018 07:30","217","401"
"01.01.2018 07:30 - 01.01.2018 07:45","216","359"
"01.01.2018 07:45 - 01.01.2018 08:00","215","352"
"01.01.2018 08:00 - 01.01.2018 08:15","222","351"
"01.01.2018 08:15 - 01.01.2018 08:30","220","312"
"01.01.2018 08:30 - 01.01.2018 08:45","217","316"
"01.01.2018 08:45 - 01.01.2018 09:00","216","313"
"01.01.2018 09:00 - 01.01.2018 09:15","237","309"
"01.01.2018 09:15 - 01.01.2018 09:30","235","311"
"01.01.2018 09:30 - 01.01.2018 09:45","233","311"
"01.01.2018 09:45 - 01.01.2018 10:00","235","307"
"01.01.2018 10:00 - 01.01.2018 10:15","252","298"
"01.01.2018 10:15 - 01.01.2018 10:30","250","311"
"01.01.2018 10:30 - 01.01.2018 10:45","249","303"
"01.01.2018 10:45 - 01.01.2018 11:00","247","292"
"01.01.2018 11:00 - 01.01.2018 11:15","279","308"
"01.01.2018 11:15 - 01.01.2018 11:30","272","391"
"01.01.2018 11:30 - 01.01.2018 11:45","270","406"
"01.01.2018 11:45 - 01.01.2018 12:00","269","417"
"01.01.2018 12:00 - 01.01.2018 12:15","304","404"
"01.01.2018 12:15 - 01.01.2018 12:30","299","445"
"01.01.2018 12:30 - 01.01.2018 12:45","296","464"
"01.01.2018 12:45 - 01.01.2018 13:00","294","458"
"01.01.2018 13:00 - 01.01.2018 13:15","308","471"
"01.01.2018 13:15 - 01.01.2018 13:30","306","510"
"01.01.2018 13:30 - 01.01.2018 13:45","305","508"
"01.01.2018 13:45 - 01.01.2018 14:00","304","529"
"01.01.2018 14:00 - 01.01.2018 14:15","288","489"
"01.01.2018 14:15 - 01.01.2018 14:30","289","472"
"01.01.2018 14:30 - 01.01.2018 14:45","294","403"
"01.01.2018 14:45 - 01.01.2018 15:00","295","390"
"01.01.2018 15:00 - 01.01.2018 15:15","277","359"
"01.01.2018 15:15 - 01.01.2018 15:30","279","268"
"01.01.2018 15:30 - 01.01.2018 15:45","278","249"
"01.01.2018 15:45 - 01.01.2018 16:00","278","220"
"01.01.2018 16:00 - 01.01.2018 16:15","273","176"
"01.01.2018 16:15 - 01.01.2018 16:30","273","145"
"01.01.2018 16:30 - 01.01.2018 16:45","273","151"
"01.01.2018 16:45 - 01.01.2018 17:00","272","152"
"01.01.2018 17:00 - 01.01.2018 17:15","293","137"
"01.01.2018 17:15 - 01.01.2018 17:30","291","167"
"01.01.2018 17:30 - 01.01.2018 17:45","289","136"
"01.01.2018 17:45 - 01.01.2018 18:00","280","108"
"01.01.2018 18:00 - 01.01.2018 18:15","342","104"
"01.01.2018 18:15 - 01.01.2018 18:30","338","122"
"01.01.2018 18:30 - 01.01.2018 18:45","332","89"
"01.01.2018 18:45 - 01.01.2018 19:00","331","95"
"01.01.2018 19:00 - 01.01.2018 19:15","363","111"
"01.01.2018 19:15 - 01.01.2018 19:30","362","266"
"01.01.2018 19:30 - 01.01.2018 19:45","360","245"
"01.01.2018 19:45 - 01.01.2018 20:00","364","231"
"01.01.2018 20:00 - 01.01.2018 20:15","354","219"
"01.01.2018 20:15 - 01.01.2018 20:30","354","258"
"01.01.2018 20:30 - 01.01.2018 20:45","359","233"
"01.01.2018 20:45 - 01.01.2018 21:00","360","217"
"01.01.2018 21:00 - 01.01.2018 21:15","342","200"
"01.01.2018 21:15 - 01.01.2018 21:30","342","223"
"01.01.2018 21:30 - 01.01.2018 21:45","344","206"
"01.01.2018 21:45 - 01.01.2018 22:00","345","164"
"01.01.2018 22:00 - 01.01.2018 22:15","318","149"
"01.01.2018 22:15 - 01.01.2018 22:30","322","160"
"01.01.2018 22:30 - 01.01.2018 22:45","328","145"
"01.01.2018 22:45 - 01.01.2018 23:00","329","145"
"01.01.2018 23:00 - 01.01.2018 23:15","370","139"
"01.01.2018 23:15 - 01.01.2018 23:30","367","128"
"01.01.2018 23:30 - 01.01.2018 23:45","361","144"
"01.01.2018 23:45 - 02.01.2018 00:00","364","171"
"02.01.2018 00:00 - 02.01.2018 00:15","347","166"
"02.01.2018 00:15 - 02.01.2018 00:30","349","29"
"02.01.2018 00:30 - 02.01.2018 00:45","352","10"
"02.01.2018 00:45 - 02.01.2018 01:00","357","78"
"02.01.2018 01:00 - 02.01.2018 01:15","340","96"
"02.01.2018 01:15 - 02.01.2018 01:30","331","118"
"02.01.2018 01:30 - 02.01.2018 01:45","324","97"
"02.01.2018 01:45 - 02.01.2018 02:00","317","120"
"02.01.2018 02:00 - 02.01.2018 02:15","313","129"
"02.01.2018 02:15 - 02.01.2018 02:30","309","113"
"02.01.2018 02:30 - 02.01.2018 02:45","305","93"
"02.01.2018 02:45 - 02.01.2018 03:00","300","81"
"02.01.2018 03:00 - 02.01.2018 03:15","303","112"
"02.01.2018 03:15 - 02.01.2018 03:30","299","162"
"02.01.2018 03:30 - 02.01.2018 03:45","294","164"
"02.01.2018 03:45 - 02.01.2018 04:00","292","158"
"02.01.2018 04:00 - 02.01.2018 04:15","296","140"
"02.01.2018 04:15 - 02.01.2018 04:30","294","137"
"02.01.2018 04:30 - 02.01.2018 04:45","292","120"
"02.01.2018 04:45 - 02.01.2018 05:00","292","133"
"02.01.2018 05:00 - 02.01.2018 05:15","297","158"
"02.01.2018 05:15 - 02.01.2018 05:30","294","179"
"02.01.2018 05:30 - 02.01.2018 05:45","297","201"
"02.01.2018 05:45 - 02.01.2018 06:00","299","200"
"02.01.2018 06:00 - 02.01.2018 06:15","320","219"
"02.01.2018 06:15 - 02.01.2018 06:30","320","258"
"02.01.2018 06:30 - 02.01.2018 06:45","321","248"
"02.01.2018 06:45 - 02.01.2018 07:00","325","296"
"02.01.2018 07:00 - 02.01.2018 07:15","335","342"
"02.01.2018 07:15 - 02.01.2018 07:30","335","404"
"02.01.2018 07:30 - 02.01.2018 07:45","344","450"
"02.01.2018 07:45 - 02.01.2018 08:00","346","491"
"02.01.2018 08:00 - 02.01.2018 08:15","396","484"
"02.01.2018 08:15 - 02.01.2018 08:30","404","553"
"02.01.2018 08:30 - 02.01.2018 08:45","412","578"
"02.01.2018 08:45 - 02.01.2018 09:00","418","551"
"02.01.2018 09:00 - 02.01.2018 09:15","465","527"
"02.01.2018 09:15 - 02.01.2018 09:30","468","516"
"02.01.2018 09:30 - 02.01.2018 09:45","461","538"
"02.01.2018 09:45 - 02.01.2018 10:00","460","545"
"02.01.2018 10:00 - 02.01.2018 10:15","478","524"
"02.01.2018 10:15 - 02.01.2018 10:30","484","562"
"02.01.2018 10:30 - 02.01.2018 10:45","492","593"
"02.01.2018 10:45 - 02.01.2018 11:00","497","560"
"02.01.2018 11:00 - 02.01.2018 11:15","500","577"
"02.01.2018 11:15 - 02.01.2018 11:30","505","613"
"02.01.2018 11:30 - 02.01.2018 11:45","510","597"
"02.01.2018 11:45 - 02.01.2018 12:00","514","610"
"02.01.2018 12:00 - 02.01.2018 12:15","512","602"
"02.01.2018 12:15 - 02.01.2018 12:30","519","593"
"02.01.2018 12:30 - 02.01.2018 12:45","528","585"
"02.01.2018 12:45 - 02.01.2018 13:00","532","593"
"02.01.2018 13:00 - 02.01.2018 13:15","523","579"
"02.01.2018 13:15 - 02.01.2018 13:30","520","553"
"02.01.2018 13:30 - 02.01.2018 13:45","519","532"
"02.01.2018 13:45 - 02.01.2018 14:00","516","549"
"02.01.2018 14:00 - 02.01.2018 14:15","514","535"
"02.01.2018 14:15 - 02.01.2018 14:30","508","529"
"02.01.2018 14:30 - 02.01.2018 14:45","504","522"
"02.01.2018 14:45 - 02.01.2018 15:00","497","525"
"02.01.2018 15:00 - 02.01.2018 15:15","504","518"
"02.01.2018 15:15 - 02.01.2018 15:30","499","501"
"02.01.2018 15:30 - 02.01.2018 15:45","495","482"
"02.01.2018 15:45 - 02.01.2018 16:00","492","464"
"02.01.2018 16:00 - 02.01.2018 16:15","489","467"
"02.01.2018 16:15 - 02.01.2018 16:30","489","448"
"02.01.2018 16:30 - 02.01.2018 16:45","488","430"
"02.01.2018 16:45 - 02.01.2018 17:00","490","433"
"02.01.2018 17:00 - 02.01.2018 17:15","485","410"
"02.01.2018 17:15 - 02.01.2018 17:30","489","463"
"02.01.2018 17:30 - 02.01.2018 17:45","495","460"
"02.01.2018 17:45 - 02.01.2018 18:00","506","488"
"02.01.2018 18:00 - 02.01.2018 18:15","517","509"
"02.01.2018 18:15 - 02.01.2018 18:30","526","473"
"02.01.2018 18:30 - 02.01.2018 18:45","532","481"
"02.01.2018 18:45 - 02.01.2018 19:00","537","484"
"02.01.2018 19:00 - 02.01.2018 19:15","526","486"
"02.01.2018 19:15 - 02.01.2018 19:30","530","429"
"02.01.2018 19:30 - 02.01.2018 19:45","532","404"
"02.01.2018 19:45 - 02.01.2018 20:00","530","425"
"02.01.2018 20:00 - 02.01.2018 20:15","511","422"
"02.01.2018 20:15 - 02.01.2018 20:30","509","443"
"02.01.2018 20:30 - 02.01.2018 20:45","504","418"
"02.01.2018 20:45 - 02.01.2018 21:00","501","405"
"02.01.2018 21:00 - 02.01.2018 21:15","477","393"
"02.01.2018 21:15 - 02.01.2018 21:30","469","343"
"02.01.2018 21:30 - 02.01.2018 21:45","460","321"
"02.01.2018 21:45 - 02.01.2018 22:00","453","328"
"02.01.2018 22:00 - 02.01.2018 22:15","428","327"
"02.01.2018 22:15 - 02.01.2018 22:30","422","344"
"02.01.2018 22:30 - 02.01.2018 22:45","417","400"
"02.01.2018 22:45 - 02.01.2018 23:00","412","468"
"02.01.2018 23:00 - 02.01.2018 23:15","436","453"
"02.01.2018 23:15 - 02.01.2018 23:30","440","406"
"02.01.2018 23:30 - 02.01.2018 23:45","433","387"
"02.01.2018 23:45 - 03.01.2018 00:00","426","394"
"03.01.2018 00:00 - 03.01.2018 00:15","431","402"
"03.01.2018 00:15 - 03.01.2018 00:30","423","407"
"03.01.2018 00:30 - 03.01.2018 00:45","414","388"
"03.01.2018 00:45 - 03.01.2018 01:00","416","394"
"03.01.2018 01:00 - 03.01.2018 01:15","409","402"
"03.01.2018 01:15 - 03.01.2018 01:30","408","381"
"03.01.2018 01:30 - 03.01.2018 01:45","407","373"
